Stock,Date,Close
ACB,2025-04-29,24.05
ADS,2025-04-29,7.83
AGR,2025-04-29,14.7
ANV,2025-04-29,15.05
BAF,2025-04-29,34.25
BID,2025-04-29,34.55
CII,2025-04-29,13.15
CKG,2025-04-29,17.0
CSM,2025-04-29,11.25
DPM,2025-04-29,32.7
DXG,2025-04-29,15.15
FPT,2025-04-29,109.4
GEX,2025-04-29,26.5
GVR,2025-04-29,23.7
HCM,2025-04-29,25.15
HHS,2025-04-29,11.0
HTL,2025-04-29,27.9
HVN,2025-04-29,31.6
IJC,2025-04-29,11.65
MBB,2025-04-29,23.55
NKG,2025-04-29,11.9
NTL,2025-04-29,14.45
OCB,2025-04-29,10.4
PDR,2025-04-29,15.4
PLX,2025-04-29,33.9
POW,2025-04-29,11.85
PVT,2025-04-29,20.85
SHB,2025-04-29,12.6
STB,2025-04-29,39.1
SZC,2025-04-29,29.7
TCO,2025-04-29,11.95
TIP,2025-04-29,18.0
TTA,2025-04-29,10.15
TVT,2025-04-29,15.4
VMD,2025-04-29,16.15
VPB,2025-04-29,16.55
VTP,2025-04-29,110.0
ACB,2025-04-28,23.95
ADS,2025-04-28,7.83
AGR,2025-04-28,14.65
ANV,2025-04-28,15.05
BAF,2025-04-28,34.15
BID,2025-04-28,34.55
CII,2025-04-28,13.15
CKG,2025-04-28,17.5
CSM,2025-04-28,11.4
DPM,2025-04-28,32.9
DXG,2025-04-28,14.6
FPT,2025-04-28,109.5
GEX,2025-04-28,26.05
GVR,2025-04-28,23.5
HCM,2025-04-28,25.25
HHS,2025-04-28,10.85
HTL,2025-04-28,27.9
HVN,2025-04-28,31.05
IJC,2025-04-28,11.6
MBB,2025-04-28,23.7
NKG,2025-04-28,12.0
NTL,2025-04-28,14.5
OCB,2025-04-28,10.4
PDR,2025-04-28,15.7
PLX,2025-04-28,33.8
POW,2025-04-28,11.75
PVT,2025-04-28,20.95
SHB,2025-04-28,12.7
STB,2025-04-28,39.25
SZC,2025-04-28,29.6
TCO,2025-04-28,11.2
TIP,2025-04-28,17.9
TTA,2025-04-28,9.81
TVT,2025-04-28,15.3
VMD,2025-04-28,16.15
VPB,2025-04-28,16.55
VTP,2025-04-28,112.1
ACB,2025-04-25,23.9
ADS,2025-04-25,7.84
AGR,2025-04-25,14.6
ANV,2025-04-25,15.45
BAF,2025-04-25,34.8
BID,2025-04-25,35.0
CII,2025-04-25,12.8
CKG,2025-04-25,17.1
CSM,2025-04-25,11.3
DPM,2025-04-25,32.5
DXG,2025-04-25,14.9
FPT,2025-04-25,112.4
GEX,2025-04-25,26.55
GVR,2025-04-25,23.8
HCM,2025-04-25,24.85
HHS,2025-04-25,11.0
HTL,2025-04-25,27.9
HVN,2025-04-25,30.75
IJC,2025-04-25,11.6
MBB,2025-04-25,23.55
NKG,2025-04-25,11.95
NTL,2025-04-25,14.55
OCB,2025-04-25,10.3
PDR,2025-04-25,15.7
PLX,2025-04-25,34.25
POW,2025-04-25,11.9
PVT,2025-04-25,20.8
SHB,2025-04-25,12.8
STB,2025-04-25,39.15
SZC,2025-04-25,30.0
TCO,2025-04-25,11.2
TIP,2025-04-25,17.8
TTA,2025-04-25,9.81
TVT,2025-04-25,15.5
VMD,2025-04-25,16.05
VPB,2025-04-25,16.5
VTP,2025-04-25,109.1
ACB,2025-04-24,24.15
ADS,2025-04-24,7.91
AGR,2025-04-24,14.6
ANV,2025-04-24,15.85
BAF,2025-04-24,35.1
BID,2025-04-24,35.45
CII,2025-04-24,12.0
CKG,2025-04-24,16.0
CSM,2025-04-24,11.0
DPM,2025-04-24,32.5
DXG,2025-04-24,14.95
FPT,2025-04-24,112.0
GEX,2025-04-24,26.8
GVR,2025-04-24,23.55
HCM,2025-04-24,24.8
HHS,2025-04-24,11.3
HTL,2025-04-24,27.5
HVN,2025-04-24,31.25
IJC,2025-04-24,11.55
MBB,2025-04-24,23.25
NKG,2025-04-24,11.9
NTL,2025-04-24,14.8
OCB,2025-04-24,10.5
PDR,2025-04-24,15.9
PLX,2025-04-24,33.65
POW,2025-04-24,12.0
PVT,2025-04-24,20.7
SHB,2025-04-24,12.9
STB,2025-04-24,40.2
SZC,2025-04-24,30.35
TCO,2025-04-24,10.85
TIP,2025-04-24,18.0
TTA,2025-04-24,9.81
TVT,2025-04-24,15.0
VMD,2025-04-24,16.3
VPB,2025-04-24,16.65
VTP,2025-04-24,108.0
ACB,2025-04-23,24.6
ADS,2025-04-23,7.8
AGR,2025-04-23,14.3
ANV,2025-04-23,15.4
BAF,2025-04-23,34.95
BID,2025-04-23,35.35
CII,2025-04-23,11.85
CKG,2025-04-23,16.05
CSM,2025-04-23,10.3
DPM,2025-04-23,32.4
DXG,2025-04-23,14.75
FPT,2025-04-23,110.4
GEX,2025-04-23,26.95
GVR,2025-04-23,23.15
HCM,2025-04-23,24.85
HHS,2025-04-23,11.3
HTL,2025-04-23,27.2
HVN,2025-04-23,31.4
IJC,2025-04-23,11.25
MBB,2025-04-23,23.4
NKG,2025-04-23,12.0
NTL,2025-04-23,14.2
OCB,2025-04-23,10.55
PDR,2025-04-23,15.6
PLX,2025-04-23,33.45
POW,2025-04-23,11.95
PVT,2025-04-23,20.5
SHB,2025-04-23,13.0
STB,2025-04-23,40.2
SZC,2025-04-23,29.2
TCO,2025-04-23,10.9
TIP,2025-04-23,17.7
TTA,2025-04-23,9.71
TVT,2025-04-23,15.2
VMD,2025-04-23,16.5
VPB,2025-04-23,16.7
VTP,2025-04-23,103.5
ACB,2025-04-22,24.1
ADS,2025-04-22,7.69
AGR,2025-04-22,13.9
ANV,2025-04-22,14.9
BAF,2025-04-22,32.7
BID,2025-04-22,35.1
CII,2025-04-22,11.55
CKG,2025-04-22,15.8
CSM,2025-04-22,10.0
DPM,2025-04-22,32.0
DXG,2025-04-22,14.0
FPT,2025-04-22,110.4
GEX,2025-04-22,26.3
GVR,2025-04-22,22.3
HCM,2025-04-22,24.6
HHS,2025-04-22,11.0
HTL,2025-04-22,26.5
HVN,2025-04-22,31.9
IJC,2025-04-22,11.1
MBB,2025-04-22,23.1
NKG,2025-04-22,11.3
NTL,2025-04-22,13.6
OCB,2025-04-22,10.45
PDR,2025-04-22,15.3
PLX,2025-04-22,33.1
POW,2025-04-22,11.85
PVT,2025-04-22,20.6
SHB,2025-04-22,13.2
STB,2025-04-22,40.65
SZC,2025-04-22,28.0
TCO,2025-04-22,10.75
TIP,2025-04-22,17.6
TTA,2025-04-22,9.63
TVT,2025-04-22,14.9
VMD,2025-04-22,16.0
VPB,2025-04-22,16.6
VTP,2025-04-22,96.8
ACB,2025-04-21,24.1
ADS,2025-04-21,8.0
AGR,2025-04-21,14.55
ANV,2025-04-21,15.5
BAF,2025-04-21,32.75
BID,2025-04-21,35.25
CII,2025-04-21,11.9
CKG,2025-04-21,16.2
CSM,2025-04-21,10.7
DPM,2025-04-21,33.0
DXG,2025-04-21,14.3
FPT,2025-04-21,111.7
GEX,2025-04-21,27.3
GVR,2025-04-21,23.7
HCM,2025-04-21,24.4
HHS,2025-04-21,11.15
HTL,2025-04-21,27.5
HVN,2025-04-21,30.5
IJC,2025-04-21,11.55
MBB,2025-04-21,22.95
NKG,2025-04-21,11.85
NTL,2025-04-21,14.15
OCB,2025-04-21,10.5
PDR,2025-04-21,16.4
PLX,2025-04-21,33.8
POW,2025-04-21,12.1
PVT,2025-04-21,21.2
SHB,2025-04-21,13.2
STB,2025-04-21,40.45
SZC,2025-04-21,29.9
